"count","id","value","long","lat","time"
"48","19085780","@gmbcouncil can anything be done to stop these cars parking opp @gatesheadcoll, &amp; forcing pedestrians into busy road? http://t.co/bgxl1wsqbd ","-1.598018","54.967158","2015-04-24 10:33:11.340000"
"49","302656038","ergh my hell am ill  ","-1.55501","54.935008","2015-04-24 10:33:06.996000"
"50","43437359","eventually getting to finally use one of my birthday presents off last year... flamingo land looking after penguins  such a big kid  ","-1.733563","54.972353","2015-04-24 10:33:02.371000"
"51","241226610","@littlerammy_ had an hour this morning trying it but need to go out soon. will start again properly later this afternoon and take my time ","-1.35176","54.839229","2015-04-24 10:32:54.309000"
"52","3126555185","good question what do people think probs mida for as its exotic  https://t.co/qm2jr4bgao ","-1.51937","55.120791","2015-04-24 10:32:31.887000"
"53","245459609","@firebolt59  sing extra loud for me  xx ","-1.672225","54.951087","2015-04-24 10:31:53.121000"
"54","554705019","big pimpin last night for fat cookes 21st  @ swingers newcastle https://t.co/tzzkzq9tu0 ","-1.611522","54.971148","2015-04-24 10:31:51.700000"
"55","291726889","@tutfoster for about a month xxx ","-1.38095","54.815819","2015-04-24 10:31:26.496000"
"56","70973133","#glastonbury wont have a double #headliner after all, says emily eavis http://t.co/d4plznhweb #music #event #festivalseason #festival ","-1.485088","55.018882","2015-04-24 10:31:19.122000"
"57","1006380079","temp:17.9c  
high:18.2c  
low:6.8c
wind:2.2mph sw
gust:11.4mph
pressure: 1000.4 
rain: 0.0mm.  
#wallsend ","-1.544167","54.999444","2015-04-24 10:31:11.981000"
"58","469545694","@mickywatt @matty_blythe1 @carl_do matty an carl we should def be garn for some bait today like sort this hangout out ","-1.442803","54.881869","2015-04-24 10:31:06.919000"
"59","904612850","were taking buskers outside today. drinks &amp; songs on the terrace! @mensbar @newcastlesu #newcastle #needmusic http://t.co/akri3p8hvx ","-1.579796","54.982418","2015-04-24 10:30:59.747000"
"60","525926263","@gallifrey50 lol dont worry :) ","-1.573406","54.978685","2015-04-24 10:30:50.590000"
"61","2790830564","  ","-1.619537","54.970748","2015-04-24 10:30:45.903000"
"62","29471784","@geordieadzy will do, coz they smell like cats piss xx ","-1.620168","55.012751","2015-04-24 10:30:40.247000"
"63","241226610","@littlerammy_ cool. i can see me getting addicted lol. loads of different islands to try as well  ","-1.35176","54.839221","2015-04-24 10:30:36.684000"
"64","1037157014","10:30 bst: temperature: 20.7c, wind: nne, 1 mph (ave), 3 mph (gust), humidity: 48%, rain (hourly) 0.0 mm, pressure: 1022 hpa, falling ","-1.45898","54.9618","2015-04-24 10:30:07.872000"
"65","20784683","temp:20.8c wind:5.6 mph barometer:1006.8 mb rain:0.0 mm humidity:57% #ukweather. ","-1.488889","55.0425","2015-04-24 10:29:53.028000"
"66","241226610","@littlerammy_ looked at the trophy list and it looks like there are extra trophies for 2 bits of dlc so they will be coming at some point ","-1.351593","54.83908","2015-04-24 10:29:04.043000"
"67","85033459","two warriors at discover indonesia 2015! #discoverindonesiancl @ newcastle university https://t.co/sxqpe2k5zn ","-1.615453","54.978746","2015-04-24 10:28:41.949000"
"68","291726889","@tutfoster no it wont cause iv stopped going to my gym as often i go twice a week now if that lol xxx ","-1.381087","54.815791","2015-04-24 10:28:40.246000"
"69","2974336427","@zgeersoy9: http://t.co/cel0dhf7gxmmmm x ","-1.661101","54.995913","2015-04-24 10:28:31.699000"
"70","525926263","@joshcoy18 mawdryn undead is rather fun. rather touching too at the end with the situation the regulars have to face :) ","-1.573406","54.978685","2015-04-24 10:28:24.012000"
"71","226555114","@msidouglas any editorial (front or back) on sunderlands crass, naive  &amp; irresponsible decision to recall aj to the squad? badly backfired. ","-1.611642","54.972124","2015-04-24 10:28:15.074000"
"72","39063924","thanks babes!!! and of course!  https://t.co/ur9gdtmkjm ","-1.651511","54.954363","2015-04-24 10:28:05.699000"
"73","1189877486","@lrpearson @tweetsthedevil ...as long as we remember to fill out a form after each session recording the exact number of beans. ","-1.613653","54.965837","2015-04-24 10:28:05.090000"
"74","398333948","@caitlinnicodx http://t.co/xp9vwukwrt ","-1.574632","54.927861","2015-04-24 10:27:45.074000"
"75","517859983","outdoor open mic today at @mensbar get yourself down there! #17degrees #hothothot ","-1.605839","54.98439","2015-04-24 10:27:39.574000"
"76","234930803","massive congratulations to @broganmaddock on passing her driving test!!!!  surely a few tonight to celebrate?  ","-1.58186","54.937902","2015-04-24 10:27:30.996000"
"77","420218871","@nunnwilliams great video! ","-1.609274","54.96943","2015-04-24 10:27:30.152000"
"78","12021142","just been mistaken for a student on @uniofnewcastle campus. it probably means i should dress smarter but ill take it ","-1.611072","54.981493","2015-04-24 10:27:07.293000"
"79","372370962","@tomwoodwarduk they are like my favorite sweets!!!! ","-1.40906","54.892099","2015-04-24 10:26:55.074000"
"80","3047320502","i dont even have the energy to get out of bed ","-1.848022","54.867468","2015-04-24 10:26:38.308000"
"81","603724178","my next door neighbour never speaks to me or my mam only chris. hahahahaha

ok you slag xoxoxox ","-1.532816","54.898607","2015-04-24 10:26:32.386000"
"82","541086318","@joe_e_1993 http://t.co/m1beqsbmvo ","-1.65588","54.957061","2015-04-24 10:26:25.933000"
"83","241226610","@littlerammy_ controls take a bit getting ysed to but it will be ok when you know where everything is. ","-1.351726","54.839233","2015-04-24 10:26:18.995000"
"84","3096538389","@start2finish1 
https://t.co/jdow5ewwvs ","-1.399782","54.985038","2015-04-24 10:26:00.527000"
"85","112268604","@yasmingoodx  hahaha my mother thinks so, shes terrified for me ","-1.587731","55.102338","2015-04-24 10:25:59.683000"
"86","89197022","@thomashowesr which ones are yours mate? https://t.co/y2srljfhbk ","-1.510094","54.922991","2015-04-24 10:25:52.558000"
"87","1095234000","@secondicsibaby @macjude @pinkpixie79 @sarahjlawson82 ah i love it.....ethan would ruin the white in minutes however!! x ","-1.620978","54.964069","2015-04-24 10:25:21.480000"
"88","18430015","writing a reflective essay on how i found working on a short film is like asking me to write an essay on how i feel making breakfast. ","-1.61349","54.982373","2015-04-24 10:25:21.183000"
"89","3096538389","@start2finish1 
https://t.co/3l89nuieun ","-1.399748","54.985026","2015-04-24 10:25:19.808000"
"90","291726889","cannot cope in this gym any longer literally have the gym to myself which is no motivation what so ever. need a new gym ","-1.381262","54.815773","2015-04-24 10:25:14.699000"
"91","112268604","ermm wheres the sun gone?!  ","-1.587894","55.102303","2015-04-24 10:25:14.042000"
"92","133214454","@brianmoore1 great tunes! i think 1988, so does @kennasafc - but @jarmstrong93 thinks 1986.... #top10at10 ","-1.667338","55.001124","2015-04-24 10:25:12.777000"
"93","342309258","@avelinespants im going to see it tonight but im not pants-wetting excited. just, yay i get to see it. ","-1.598404","55.055577","2015-04-24 10:25:03.527000"
"94","2938661014","its a bloody lovely day ","-1.597814","54.967003","2015-04-24 10:24:58.636000"
"95","769964522","http://t.co/cwarmgarha ","-1.527081","54.898278","2015-04-24 10:24:54.417000"
"96","241226610","@littlerammy_ yeah. you do get something with the psn pre order but think its for mp but not sure. ","-1.351788","54.839271","2015-04-24 10:24:50.464000"
"97","3096538389","@start2finish1 ","-1.399714","54.985019","2015-04-24 10:24:49.714000"
"98","263400136","minor a1231 st michaels way in sunderland busy but moving between the a183 livingstone road roundabout junction and the stockton road juncti ","-1.390894","54.906847","2015-04-24 10:24:40.433000"
"99","2236840383","@courantsport cheers ","-1.718059","54.955823","2015-04-24 10:24:33.120000"
"100","121230475","i get more texts off  @dominos than i do my mum #mother #loved ","-1.665191","55.014531","2015-04-24 10:24:17.011000"
"101","835325892","oh shit. i dropped something. my assignment on da freaking table matafakasssss. ","-1.601166","54.977395","2015-04-24 10:23:27.776000"
"102","700673000","@mrwalkergs @erdingeraf_uk @alkoholfreiday smile man ya in madrid. ","-1.596949","55.017119","2015-04-24 10:23:18.198000"
"103","70973133","#rorymcilroy #pga #tour now teeing off a month later in #july http://t.co/8akuytxfyf #golf #sports ","-1.488393","55.025269","2015-04-24 10:23:02.261000"
"104","517859983","this weather though! ","-1.606202","54.984558","2015-04-24 10:22:58.354000"
"105","3080456729","cant believe how muscly @frey4_ was this morning ","-1.604846","54.977292","2015-04-24 10:22:54.479000"
"106","39726444","@ladyzee70 glad too hear it xx ","-1.611417","54.972675","2015-04-24 10:22:43.245000"
"107","3096538389","@peandschoolspt 
https://t.co/jdow5ewwvs ","-1.399768","54.984967","2015-04-24 10:22:34.307000"
"108","89197022","@nelliecarty haha it was a friday night for us ~ get back just in time for monkey

ahhhhhhh immmm singing now

ahhh piggsy you stupidd foool ","-1.51008","54.92297","2015-04-24 10:22:34.042000"
"109","104593034"," ","-1.425945","54.983316","2015-04-24 10:22:32.823000"
"110","241226610","@littlerammy_ its really good. really like the look of the game. very surprised at the level of detail when you zoom right in  ","-1.35204","54.839605","2015-04-24 10:22:32.495000"
"111","159474972","day 2 @ #nclmam conference: questioning &amp; rethinking militarised masculinities @intalert @joannatidy @amandachisholm5 http://t.co/faci0dnwnr ","-1.615246","54.980609","2015-04-24 10:22:17.417000"
"112","3096538389","@peandschoolspt ","-1.399774","54.9851","2015-04-24 10:22:04.261000"
"113","302656038","play a video and it turns out to be sex noises. cheers whoever made thatma probs thinks am watching lesbian porn ","-1.554729","54.934732","2015-04-24 10:22:03.136000"
"114","456094220","wearing all black and then instantly regretting it when you step outside and global warming has your life ","-1.504215","55.00537","2015-04-24 10:21:50.433000"
"115","1053901056","going to see avengers soon cant wait ","-1.458386","55.014407","2015-04-24 10:21:21.261000"
"116","335505447","such a shame, first robin williams, then lil chris, now this, suicide is awful http://t.co/nahwmcbqqg ","-1.65848","54.995254","2015-04-24 10:21:14.854000"
"117","286150294","@luumochi melon ","-1.707004","54.863019","2015-04-24 10:20:58.511000"
"118","352556215","you boys @philhenderson88 @andyl3388  r going to take one hell of a beating tonight! #onehellofabeating#golf#doubles arent the @robbielav? ","-1.823293","54.861539","2015-04-24 10:20:57.870000"
"119","3096538389","quick break in between #pe lessons. #athletics with reception class first thing and now onto #dance with year 4.busy morning @seaviewschool ","-1.399725","54.984999","2015-04-24 10:20:51.214000"
"120","2995702013","#followfriday @lgaix @hermosa_brisa @lindadeakins1 @margaretdavies4 @hilaryluke @ling_cheung8 @roseyredcheeks7 @lisabunny44 @dawnrgraham ","-1.504753","54.89949","2015-04-24 10:20:29.651000"
"121","200314279","my dream last night has actually reduced me to tears again like why the fuck am i dreaming things like this  ","-1.462132","55.020258","2015-04-24 10:20:21.510000"
"122","94165963","@kirstynicholson thats true. you went half way last time tho ","-1.590678","54.985573","2015-04-24 10:20:21.307000"
"123","37242765","great walk up to wylam. @slimmingworld #bodymagic @2northumberland #excercise @weightloss http://t.co/zkxxm0nzwf ","-1.704276","54.983577","2015-04-24 10:20:12.292000"
"124","94165963","@kirstynicholson lol just seen this thanks ","-1.590678","54.985573","2015-04-24 10:19:51.448000"
"125","45353674","@kevindevine94 hi hungover and need you so bad x ","-1.621378","54.978348","2015-04-24 10:19:50.370000"
"126","12021142","@flemingsean that was such a bonkers time. hes got a heart of gold from everything ive heard ","-1.612763","54.981166","2015-04-24 10:19:48.417000"
"127","353637876","@brianmoore1 loving the tunes! never had so much fun washing the kitchen floor. keep the 80s coming. ","-1.433338","54.945619","2015-04-24 10:18:37.167000"
"128","398333948","@proteinworld yous are shit ","-1.576509","54.930545","2015-04-24 10:18:30.604000"
"129","551816987","@billygaley haha little shit ","-1.43939","54.879934","2015-04-24 10:17:47.604000"
"130","439368857","drugs, thats her secret, drugs http://t.co/uh5agb38zs ","-1.597798","54.967036","2015-04-24 10:17:41.120000"
"131","464759660","the sun just makes me so happy ","-1.621046","54.967783","2015-04-24 10:17:36.620000"
"132","2264798306"," the third (of 5) #happybirthday #shoutout for this week goes out to @influence_sm athlete follower https://t.co/dpd3uvtknm ","-1.569984","55.090548","2015-04-24 10:16:51.682000"
"133","2760388449","goals  https://t.co/yli3fvwfev ","-1.706071","54.877932","2015-04-24 10:16:36.276000"
"134","206781292","@chloe_brownnx thanks chloe xxxx ","-1.620325","54.970297","2015-04-24 10:16:26.213000"
"135","2850327270","what a beautiful morning &amp; its friday!  ","-1.407196","54.900682","2015-04-24 10:16:23.729000"
"136","12021142","@salfordmatt i would require lots of beer to debate that point ","-1.613485","54.979893","2015-04-24 10:16:20.166000"
