c0,c1,c2,c3,c4,c5,c6,c7,distance
1.0,10.0,0.1,20.495932157898633,1.0,1.1104098337911488,3.1598818475362918,0.00795261711608285,0.7998310522067587
1.0,10.0,0.1,25.782447536936267,1.0,1.0460993565460273,0.8162514384172006,0.006827548440739371,0.6501779826031144
1.0,10.0,0.1,1.8694165112703112,1.0,1.0316610873150234,0.0564060329166538,0.004856292266823309,0.5550461773046504
1.0,10.0,0.1,2.806810299336296,1.0,3.306935411774278,0.08917700249364584,0.037618683662174725,0.78574962485657
1.0,10.0,0.1,1.618149899829931,1.0,1.7622228329158904,0.05759281952154515,0.005422427133132835,0.38057888218134706
1.0,10.0,0.1,2.3134763214562044,1.0,0.9698041138441591,0.09036056003599112,0.015015359011574227,0.7273664349957031
1.0,10.0,0.1,13.5038083482872,1.0,2.156665476048271,0.6629998882097534,0.002574147717182438,0.8267764036167956
1.0,10.0,0.1,3.093472260355082,1.0,1.914272233912582,0.10041763797884974,0.002557078189288013,0.6599542628761339
1.0,10.0,0.1,0.528424639566851,1.0,2.1727930711957866,0.050759933411291196,0.03743854983855871,0.4819981136960665
1.0,10.0,0.1,17.601307908736377,1.0,2.621550570817661,0.8864007675575071,0.005721576974254178,0.5659590603118875
1.0,10.0,0.1,1.3208134771941202,1.0,1.5951314330462099,0.14658345416697138,0.00589167333245322,0.6249869684614704
1.0,10.0,0.1,4.276404613427851,1.0,1.8747110553520665,0.09790606466320853,0.01576008478813321,0.8199951982423725
1.0,10.0,0.1,25.890997890355944,1.0,1.2353410605375679,2.24788406165881,0.004179485595944101,0.8685851667043265
1.0,10.0,0.1,15.42374905665482,1.0,0.9619213712040489,0.7040404801582172,0.006980246471694216,0.458404792130508
1.0,10.0,0.1,38.91047264253268,1.0,0.8916238998753715,2.324273869259039,0.005471961072677343,0.8864349337968134
1.0,10.0,0.1,2.3549188917896506,1.0,3.195566438787289,0.49906774606879595,0.006069438613419773,0.8090015405519357
1.0,10.0,0.1,0.9132646284922128,1.0,0.9640177726119642,0.10105601452978617,0.020576246967375634,0.346711639127918
1.0,10.0,0.1,10.654339889365565,1.0,3.5655891346712822,0.7244039544868657,0.008631253338521414,0.8410790916679906
1.0,10.0,0.1,18.715511312727944,1.0,1.289792816806399,0.31440527908220933,0.022173219891141547,0.5477499399686954
