c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.1,15.50477486543464,1.0,1.7023249554735744,0.837299167994716,0.015014669135285985
1.0,10.0,0.1,3.291942339620383,1.0,3.767376395729387,0.12480026586165228,0.03856616167276572
1.0,10.0,0.1,6.14925248318194,1.0,4.801804560552706,0.45932751647448355,0.011529024754446891
1.0,10.0,0.1,32.367878687955866,1.0,2.8059683038278607,2.5630063983447164,0.009129053541828126
1.0,10.0,0.1,2.2650877811588463,1.0,2.2400371484888018,0.1019263384799185,0.009026921544898965
1.0,10.0,0.1,3.265396871814297,1.0,1.4383448941494668,0.29817013052854724,0.008132036036925343
1.0,10.0,0.1,25.278596220271126,1.0,3.068321276427024,1.2305600535939887,0.018382271203125217
1.0,10.0,0.1,31.85561895977973,1.0,2.352437099852669,1.3949689217039563,0.0055280709861929575
1.0,10.0,0.1,30.50651244785471,1.0,2.7337917574348256,2.692048624702298,0.011990228501485956
1.0,10.0,0.1,14.633541620099756,1.0,1.3386113950061402,0.1412922149289525,0.03668975308746427
1.0,10.0,0.1,1.3394543195437014,1.0,3.084797801222094,0.09991371499393212,0.004164906000628967
1.0,10.0,0.1,50.88120640331107,1.0,1.7232016761317621,3.594811314647042,0.007828015392386346
1.0,10.0,0.1,3.0480609320165173,1.0,2.825072205829233,0.28912258244802463,0.002935242367295924
1.0,10.0,0.1,2.4066189856839126,1.0,1.6948552187358703,0.0700153165635,0.003991876720500994
1.0,10.0,0.1,3.8819277270974273,1.0,1.5140303376170905,0.4471959620864823,0.002914424799915226
1.0,10.0,0.1,7.595144504014215,1.0,1.5869753433414002,0.5062595654623206,0.01148300091080674
1.0,10.0,0.1,12.603735166400755,1.0,2.198072822557352,0.7521905033748617,0.026951501403116175
1.0,10.0,0.1,40.43936359948433,1.0,1.4537397106907362,1.179338484517121,0.0035271343132033867
1.0,10.0,0.1,3.7767833007116542,1.0,2.072572770724335,0.2519512626494548,0.0032230288794415007
1.0,10.0,0.1,4.234897816233298,1.0,2.1421871001814856,0.24438381606704865,0.008002654726623011
1.0,10.0,0.1,8.026459643611465,1.0,2.143228952574766,0.5220011929692241,0.007536908203058417
1.0,10.0,0.1,28.104903444418742,1.0,0.5396364876904584,1.2218818220065373,0.009137588859646571
1.0,10.0,0.1,9.258369700336964,1.0,3.3123285678630423,0.4752680996945877,0.004036877928204457
1.0,10.0,0.1,3.066756580818858,1.0,1.8872674735303963,0.23154634325913376,0.0062201336627619504
1.0,10.0,0.1,35.48049344444369,1.0,2.344493697166361,4.295472445764593,0.004731363409884599
1.0,10.0,0.1,5.133710359953614,1.0,3.34141002860233,0.899041539364571,0.004344041584940433
1.0,10.0,0.1,5.6131458897852,1.0,0.9462149101969339,0.1318411909047374,0.015727639567308712
1.0,10.0,0.1,1.0892786297726726,1.0,2.3902146886783724,0.08512966435349102,0.006253438087662786
1.0,10.0,0.1,16.718808212920003,1.0,3.048545836386785,2.082565979794393,0.004046400664195929
1.0,10.0,0.1,13.093799429397322,1.0,1.366797873304823,0.7436263353940101,0.004412789258079286
1.0,10.0,0.1,0.9402495062589915,1.0,3.0407703889093605,0.06616525342321841,0.004919342747106781
1.0,10.0,0.1,7.602748329947226,1.0,1.9410898798650575,0.11149755694801913,0.11508250308266628
1.0,10.0,0.1,9.277035363512676,1.0,2.0407894302450242,0.2761010058270749,0.023911017288909844
1.0,10.0,0.1,5.342779293175089,1.0,1.4554166860780764,0.10629051602134575,0.052738045833128924
1.0,10.0,0.1,1.8302883697935408,1.0,1.1322533390238836,0.1310336782123774,0.006895976420045698
1.0,10.0,0.1,43.10061377028158,1.0,1.6312698040852722,4.703931884175789,0.006626538184285187
1.0,10.0,0.1,3.9032755781425763,1.0,2.9165727796279315,0.24300383361011768,0.0043327409564709015
1.0,10.0,0.1,0.7403613211469657,1.0,2.3733213136939666,0.09151005818313357,0.0025279931558322686
1.0,10.0,0.1,6.441559944043546,1.0,0.7896221676941317,0.1404456752919207,0.0030945516348743363
1.0,10.0,0.1,0.8751465529196201,1.0,1.3466847668954016,0.050646220666787825,0.01286836391417293
1.0,10.0,0.1,0.3756242404119287,1.0,1.8660075120120656,0.056768764980033914,0.00258672597986016
1.0,10.0,0.1,1.3857525850244303,1.0,3.872796711089376,0.1406303263442774,0.005197563925979488
1.0,10.0,0.1,43.610275205112465,1.0,0.9765028396902969,1.787062373678022,0.0038230690343735514
1.0,10.0,0.1,11.714165181898752,1.0,1.7242586544508025,1.3848952030993125,0.002914632864696611
1.0,10.0,0.1,2.1998474566863098,1.0,2.3856113225966777,0.09185248457982169,0.019483704832671027
1.0,10.0,0.1,2.8181072020657973,1.0,5.560305759720308,0.3500195589232868,0.003073136678538462
1.0,10.0,0.1,1.0202101236421237,1.0,2.5099731214965564,0.056052725830208684,0.02061285010209737
1.0,10.0,0.1,13.512834112900306,1.0,1.370016331322274,0.15034561130396576,0.04177210559549247
1.0,10.0,0.1,0.8079036800125811,1.0,1.1253737346400265,0.045808868513099836,0.003544170793400118
1.0,10.0,0.1,3.9184396822700016,1.0,1.4593650991206875,0.24835910824235202,0.007353176598895621
1.0,10.0,0.1,12.167094769452977,1.0,2.075284795365416,1.1780096000316993,0.009883166237920004
