c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.1,0.9356438261490555,1.0,4.187772674114703,0.06497912496283394,0.015967569946354367
1.0,10.0,0.1,7.869173457832551,1.0,3.429290185742564,0.8115659605469868,0.013646948479462094
1.0,10.0,0.1,1.7108097841293517,1.0,0.7057114483495909,0.0697236321533642,0.003180333749509827
1.0,10.0,0.1,49.201518845316,1.0,2.6457821229221024,1.6916210300556003,0.016923120738946876
1.0,10.0,0.1,7.184868902817553,1.0,0.7102092517131848,0.2739778962610535,0.018000576633056372
1.0,10.0,0.1,0.6921793495936824,1.0,1.201839230753185,0.062354624906007794,0.006169919268151952
1.0,10.0,0.1,10.044031304367747,1.0,0.9862006484970471,0.2598655837486376,0.07473624113612726
1.0,10.0,0.1,12.253139046947123,1.0,1.5307005500581197,0.18210680678944885,0.007900324881431319
1.0,10.0,0.1,9.360562020083869,1.0,3.450823852858884,0.4998087377989248,0.026951872370277255
1.0,10.0,0.1,1.2377488101628913,1.0,0.8747581050838985,0.0715380613798905,0.022024596156825674
1.0,10.0,0.1,4.796363656062257,1.0,1.4477652890760595,0.09644999080749939,0.0035488673311438405
1.0,10.0,0.1,21.694210081592516,1.0,3.7381154271976484,0.5838894005066367,0.051759847827389384
1.0,10.0,0.1,24.200163820963766,1.0,0.5317466262460047,1.4249783690408968,0.02389183985575472
1.0,10.0,0.1,5.51226225120373,1.0,0.6115148786093457,0.26144719694628704,0.0037778807766040263
1.0,10.0,0.1,1.647048300290287,1.0,5.581654089037715,0.1339054267629531,0.02814722760498397
1.0,10.0,0.1,17.83117390682944,1.0,3.160422630361258,1.0424776912458424,0.049357072993130593
1.0,10.0,0.1,1.1762440857334024,1.0,3.332661308986084,0.16701000675092106,0.0048532932704531745
1.0,10.0,0.1,22.65261048343359,1.0,5.543260214800487,3.170197485983872,0.004718975922475792
1.0,10.0,0.1,18.624607237108712,1.0,2.248742950483457,0.7794023055641948,0.00389347020662126
1.0,10.0,0.1,4.044203814711942,1.0,1.513903164859843,0.10334778682074179,0.0030886543435140338
1.0,10.0,0.1,1.0875719664995909,1.0,0.30113202669333605,0.0589818360250272,0.0051945357255135036
1.0,10.0,0.1,1.5880251668991407,1.0,2.231334075140652,0.1337880271142248,0.005192497810363979
1.0,10.0,0.1,1.8708096201368727,1.0,0.2305300976619508,0.06908240902004618,0.0060293148012940095
1.0,10.0,0.1,2.9966502358692004,1.0,0.7257818020045652,0.2918926364355639,0.008193953244721483
1.0,10.0,0.1,3.793171127287873,1.0,3.867864257491529,0.3725383923409232,0.006693817549177327
1.0,10.0,0.1,30.24597038710853,1.0,1.2727876657789925,1.0510107510843965,0.008277746302237935
1.0,10.0,0.1,6.711295327180341,1.0,1.9296813350859277,0.5112089032718484,0.023888194711794538
1.0,10.0,0.1,7.185171261953109,1.0,4.254434871126531,0.7865279267426079,0.0028851252887258446
1.0,10.0,0.1,5.180270847320015,1.0,1.9673869821777878,0.09659241870277478,0.004722033363526721
1.0,10.0,0.1,1.4990264375789562,1.0,4.13967887430103,0.19363162688545338,0.002175422937319837
1.0,10.0,0.1,8.027031679064592,1.0,1.5620619483841172,0.7496664560123809,0.007659812010851951
1.0,10.0,0.1,31.550349714833885,1.0,2.788020922679859,3.736021572611578,0.003375551096774906
1.0,10.0,0.1,0.5781113423654521,1.0,1.5913383841977518,0.0705747130392302,0.0038569337544528647
1.0,10.0,0.1,0.5996640905771008,1.0,5.331065021669724,0.07586777518882337,0.0198856189246867
1.0,10.0,0.1,9.261746817401175,1.0,2.1339534908954296,0.8383534788922182,0.00347187072399533
1.0,10.0,0.1,32.14342728841998,1.0,2.7518225730790618,1.3498682257722443,0.018338180680130343
1.0,10.0,0.1,24.778459961752343,1.0,0.42718265242798353,2.1738309300640917,0.013015993436491874
1.0,10.0,0.1,38.334971985995935,1.0,2.1743213246818285,0.5573006349704467,0.02834618173360639
1.0,10.0,0.1,15.781701804124276,1.0,3.6621809244151655,0.8443571223090455,0.0050614475063395495
1.0,10.0,0.1,3.8859434971421325,1.0,3.796620333642072,0.1364784091449234,0.005828610086843845
1.0,10.0,0.1,15.57537283158497,1.0,1.030587886283637,1.4422135727723668,0.0067355840281024945
1.0,10.0,0.1,0.7908606078744929,1.0,1.3460474021558073,0.15132952655199733,0.0033269256618336605
1.0,10.0,0.1,1.2666744412096713,1.0,1.3460474568487348,0.09180842964770135,0.009446342640301161
1.0,10.0,0.1,22.735332014681376,1.0,1.7485863488578526,2.024201259692615,0.010618951369219871
1.0,10.0,0.1,10.924635321345798,1.0,1.103365046031671,0.1142463642011745,0.0676849322358402
1.0,10.0,0.1,5.318039721317812,1.0,2.774782598099128,0.6259757814749052,0.0030982474786368265
1.0,10.0,0.1,13.834985904294534,1.0,0.9736359698829559,0.6439028382255945,0.0034828896015056555
1.0,10.0,0.1,36.90243344602947,1.0,1.4904062597257322,0.6636205031257645,0.018107305724368455
1.0,10.0,0.1,22.539100593268,1.0,0.9955548964470529,0.32922634175391213,0.09950562162695932
1.0,10.0,0.1,3.6676988469070078,1.0,2.7498351898400633,0.3046120494858394,0.0031440865178569803
1.0,10.0,0.1,2.7842890655678505,1.0,1.618388791886161,0.10128741896656658,0.004218156582137646
1.0,10.0,0.1,0.7108252412980901,1.0,1.2715203854914823,0.04550939030387852,0.014586896285205077
1.0,10.0,0.1,4.265351010764296,1.0,2.781333183341604,0.5517711703453099,0.00694605054603504
1.0,10.0,0.1,3.2274212217808134,1.0,0.4953278186709412,0.05689970051453184,0.03139961350351425
1.0,10.0,0.1,8.301716148163985,1.0,1.8034948444970484,0.28139095456134505,0.0670500395362885
