c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.01,31.704794090762487,1.0,1.8839531818457735,0.25064344918381276,0.0033652183350533905
1.0,10.0,0.01,29.383152685760603,1.0,1.6762075938766325,0.3128043319240733,0.003995118028490605
1.0,10.0,0.01,24.93794689572929,1.0,1.370328669201263,0.2534230375189258,0.0032067712087381715
1.0,10.0,0.01,23.073421106071,1.0,1.455640243041525,0.25346475315676836,0.002828948332610926
1.0,10.0,0.01,19.191230099193096,1.0,1.6830122293356953,0.283273100385331,0.0027336406332288134
1.0,10.0,0.01,28.975242418829254,1.0,1.5929465904372637,0.2864861276824619,0.0035146925099068796
1.0,10.0,0.01,28.617433964064105,1.0,1.9295834433084538,0.36157269779009743,0.0046819843428763264
1.0,10.0,0.01,28.360335893740988,1.0,1.6270920709076857,0.4321421505077416,0.004343239514558563
1.0,10.0,0.01,35.35484786280004,1.0,1.5384523927392673,0.3006843944968168,0.003796670778080051
1.0,10.0,0.01,32.10500556144556,1.0,1.447190226692912,0.23675578871814723,0.004862366198871998
1.0,10.0,0.01,33.60847783990686,1.0,1.2666011880498835,0.28984272388707494,0.004934550570462878
1.0,10.0,0.01,42.94557709379524,1.0,1.4492272753173623,0.5164747019104566,0.004015455502245392
1.0,10.0,0.01,38.78363624691155,1.0,1.387121888172423,0.5280577565510269,0.0036685376163742667
1.0,10.0,0.01,44.98071441498107,1.0,1.5220115684730893,0.48509409946636683,0.0029200288851609973
1.0,10.0,0.01,46.118948035311575,1.0,1.4607850275401038,0.427462626180997,0.003465479357714265
1.0,10.0,0.01,44.613749646483,1.0,1.1356035465234762,0.40152174685962366,0.003643072451450307
1.0,10.0,0.01,35.413193722558354,1.0,1.6284995326143519,0.4312318252055223,0.0026628909837811735
1.0,10.0,0.01,32.158061155710264,1.0,1.4259487693143815,0.41433116231111056,0.0035980925173305263
1.0,10.0,0.01,26.020146906727167,1.0,1.373920820635346,0.34438169262635665,0.0042625378769373945
1.0,10.0,0.01,26.7034566306492,1.0,1.2906887894423347,0.28940062826598534,0.006046267309634769
1.0,10.0,0.01,22.14362926503404,1.0,1.3677421928613998,0.22780112625593446,0.004147541415407079
1.0,10.0,0.01,12.16721194566963,1.0,1.8162879969580377,0.24321600491295167,0.006796188844012335
1.0,10.0,0.01,23.289078827982298,1.0,1.7952431562333573,0.15490822760768366,0.006039536314713166
1.0,10.0,0.01,23.751349061038795,1.0,1.4401226745249684,0.23193960703329303,0.005126995545295031
1.0,10.0,0.01,20.583896359827026,1.0,1.2272032730380804,0.26915219535226526,0.004818517132882115
1.0,10.0,0.01,27.575499951375527,1.0,1.361223421690933,0.21234417701261368,0.003970989010275115
1.0,10.0,0.01,22.795014082184778,1.0,1.4528742817000386,0.20111755821136917,0.002543875981762931
1.0,10.0,0.01,20.37763128824161,1.0,1.5382374180688978,0.29555881131773515,0.0036048019969651063
1.0,10.0,0.01,17.9545826770728,1.0,1.2353351966682018,0.18887031623564884,0.0031698007176793096
1.0,10.0,0.01,18.403084394941853,1.0,1.3791459817657694,0.14072435719932225,0.0025631817536407066
1.0,10.0,0.01,13.30670982527257,1.0,1.6301734253542393,0.14946161086487686,0.0025748563626320905
1.0,10.0,0.01,13.30670982527257,1.0,1.6301734253542393,0.14946161086487686,0.0025748563626320905
1.0,10.0,0.01,12.053726637490845,1.0,1.5667920457703106,0.16152150613890634,0.0029847322565406016
1.0,10.0,0.01,14.060499935941111,1.0,1.3780292106207925,0.18573179258265268,0.0030888905652133227
1.0,10.0,0.01,19.206914085355095,1.0,1.5384028282066229,0.15273177688911901,0.0036168495211785986
1.0,10.0,0.01,15.601413394924473,1.0,1.400303476182913,0.14121191925196805,0.0028370905982596797
1.0,10.0,0.01,19.214725046399025,1.0,1.4898129057106515,0.06984801715999671,0.003262368818222133
1.0,10.0,0.01,17.51783454783315,1.0,1.1644354071816123,0.09121648652665608,0.003029442067312587
1.0,10.0,0.01,23.107931668326295,1.0,1.1120778241924585,0.08306832267796939,0.002516662543499985
1.0,10.0,0.01,29.279993097363096,1.0,1.2402874578935708,0.08326797221168285,0.0032670710538113125
1.0,10.0,0.01,26.446234452814213,1.0,1.531004382192209,0.16640707237904825,0.004522180636767994
1.0,10.0,0.01,24.198329259493075,1.0,1.5985083726558005,0.1451211860338822,0.005269808473255582
1.0,10.0,0.01,22.964565324984093,1.0,1.5840334821977413,0.12613129486646715,0.004089111290533488
1.0,10.0,0.01,22.439429081338577,1.0,1.7090627014976296,0.17626839883713707,0.0026250719783718177
1.0,10.0,0.01,26.81180017260863,1.0,1.4254823543537807,0.20531995109182435,0.0029120663353263965
1.0,10.0,0.01,24.181301215126414,1.0,1.3424251986928044,0.23673967527153714,0.002766465755048122
1.0,10.0,0.01,20.820049461111605,1.0,1.4606835791493114,0.2385089267732192,0.0026196695066722023
1.0,10.0,0.01,19.565330402081223,1.0,1.3404322317822095,0.23271544227124552,0.0026432207660013075
1.0,10.0,0.01,16.381243973807234,1.0,1.3737247815253615,0.2411331862018355,0.002518606783009639
1.0,10.0,0.01,19.78864159221152,1.0,1.4015898616881128,0.24961610356551697,0.002720479419092675
1.0,10.0,0.01,15.718969440822715,1.0,1.5473781331074532,0.23923532583067367,0.003734618606794379
1.0,10.0,0.01,14.805449543062085,1.0,1.3640686734673828,0.25537544702022236,0.0033038200204203983
1.0,10.0,0.01,15.702411935158382,1.0,1.3157721098797786,0.24195843835581513,0.0030284059373125666
1.0,10.0,0.01,17.050159204294594,1.0,1.4903791074601331,0.2690411187487567,0.0037807832267231444
1.0,10.0,0.01,20.843479524096036,1.0,1.675915762056431,0.18627682372441362,0.003561890637230619
1.0,10.0,0.01,20.923232028183424,1.0,1.6202069493072055,0.2390322305659972,0.003804291539484073
1.0,10.0,0.01,23.988983921957225,1.0,1.7324769946420453,0.26959001115403275,0.003565593201566184
1.0,10.0,0.01,41.131083667520635,1.0,1.248988608688742,0.268123809512704,0.004465111903325728
1.0,10.0,0.01,47.3071279067369,1.0,1.261917480387208,0.3299642860573662,0.0035171664439935316
1.0,10.0,0.01,45.04262484864747,1.0,1.359172618590376,0.5576733952971044,0.004136121049751455
1.0,10.0,0.01,52.71832485945309,1.0,1.4190488175324896,0.5165940594414379,0.0035476843122931078
1.0,10.0,0.01,52.71832485945309,1.0,1.4190488175324896,0.5165940594414379,0.0035476843122931078
1.0,10.0,0.01,52.71832485945309,1.0,1.4190488175324896,0.5165940594414379,0.0035476843122931078
1.0,10.0,0.01,52.71832485945309,1.0,1.4190488175324896,0.5165940594414379,0.0035476843122931078
1.0,10.0,0.01,42.64616453669502,1.0,1.4840204042048466,0.5354077749833621,0.00431578345774756
1.0,10.0,0.01,42.64616453669502,1.0,1.4840204042048466,0.5354077749833621,0.00431578345774756
1.0,10.0,0.01,41.839217718884775,1.0,1.471392103204622,0.57726723642503,0.003500157169648128
1.0,10.0,0.01,34.96019967394369,1.0,1.341451965121653,0.31074051118709384,0.002871565895366412
1.0,10.0,0.01,37.34384388802385,1.0,1.1109412614058924,0.2964896312620859,0.003794841135725446
1.0,10.0,0.01,38.27422051947975,1.0,1.836333438816339,0.1696769782458125,0.002903565261213639
1.0,10.0,0.01,50.70087538693997,1.0,1.51107867893463,0.12600270795305893,0.0033521170631551165
1.0,10.0,0.01,40.73225785033326,1.0,1.3705683196280551,0.10864051401935164,0.0033343092650843648
1.0,10.0,0.01,40.465323013736786,1.0,1.3864366361198286,0.10605457960655595,0.004058727146219566
1.0,10.0,0.01,25.480365308017834,1.0,1.675830721468569,0.1463735644230327,0.0036867439824101373
1.0,10.0,0.01,20.52943536809539,1.0,1.375239725002269,0.15864500783439692,0.004277054440058343
1.0,10.0,0.01,16.2581848425132,1.0,1.6601982231092023,0.2477633988798315,0.006616312948830249
1.0,10.0,0.01,20.845373061082135,1.0,1.4720807896223207,0.22447505448471,0.004172494357329256
1.0,10.0,0.01,17.769709680099194,1.0,1.233101509041962,0.22474728318369894,0.004318445674692899
1.0,10.0,0.01,16.37925688719833,1.0,1.3266473403214254,0.24340956851178358,0.003940181884894252
1.0,10.0,0.01,16.7352213337553,1.0,1.2963892565463384,0.20996729097148228,0.002822802065486766
1.0,10.0,0.01,20.175187480352292,1.0,1.0835007210160523,0.22481839066593834,0.0033125412949251308
1.0,10.0,0.01,14.421841765697117,1.0,1.2623509174128993,0.10667050287952655,0.0027580864404664084
1.0,10.0,0.01,15.58190479620943,1.0,1.3271866068432168,0.12869579456850166,0.0026864578728975864
1.0,10.0,0.01,15.58190479620943,1.0,1.3271866068432168,0.12869579456850166,0.0026864578728975864
1.0,10.0,0.01,15.58190479620943,1.0,1.3271866068432168,0.12869579456850166,0.0026864578728975864
1.0,10.0,0.01,15.58190479620943,1.0,1.3271866068432168,0.12869579456850166,0.0026864578728975864
1.0,10.0,0.01,16.812880318088972,1.0,1.4436344269660533,0.14099319441072186,0.002955434387588247
1.0,10.0,0.01,11.557061632310484,1.0,2.023404734389036,0.2517759670990671,0.0026202728974139317
1.0,10.0,0.01,12.79947842330861,1.0,2.060968601006783,0.27585750760307465,0.002885746332101331
1.0,10.0,0.01,13.71474225450615,1.0,1.60696166706694,0.17790997880888337,0.0033233264313181736
1.0,10.0,0.01,17.574229879794952,1.0,1.4789373063399927,0.18175933212222847,0.0025651646122602646
1.0,10.0,0.01,17.574229879794952,1.0,1.4789373063399927,0.18175933212222847,0.0025651646122602646
1.0,10.0,0.01,22.46364477428134,1.0,1.4548362858325783,0.18695303677021918,0.0026405074311180656
1.0,10.0,0.01,26.13094762882939,1.0,1.4899990534604437,0.21772205272735487,0.002649819180548908
1.0,10.0,0.01,39.18954678068812,1.0,1.3304150798933758,0.2684996093193215,0.0026784687692316517
1.0,10.0,0.01,37.927258417881596,1.0,1.4610063665763695,0.2838183865570804,0.002602902137082275
1.0,10.0,0.01,44.21427665207475,1.0,1.4646778611798814,0.2885535186784528,0.003264202707251724
1.0,10.0,0.01,47.08517311563024,1.0,1.488480298678631,0.2285579348748341,0.003965775944081001
1.0,10.0,0.01,46.49729958220918,1.0,1.728670168173248,0.21795687663757773,0.004386211619586041
1.0,10.0,0.01,46.09583379369876,1.0,1.6402477205132593,0.28394881787576753,0.005680199504798146
1.0,10.0,0.01,35.765016374613786,1.0,1.5393894016910405,0.35361046244275846,0.005298113367562807
1.0,10.0,0.01,43.16881557230721,1.0,1.4535819266264665,0.3088211211048488,0.0053556570271400105
1.0,10.0,0.01,50.41440181857022,1.0,1.6281074977558623,0.504853573523557,0.004228362343663649
