c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.1,3.4908380877277407,1.0,1.815179600359251,0.0988117401800559,0.010396324907636626
1.0,10.0,0.1,3.208645494389697,1.0,2.294123600406314,0.2556107095704021,0.008496762272493002
1.0,10.0,0.1,12.638862352263352,1.0,0.4777443338400521,0.3751127261500514,0.062155526486167914
1.0,10.0,0.1,23.477793331474587,1.0,1.1321114187331578,0.6993667694030824,0.009141418424189767
1.0,10.0,0.1,2.5475040438187624,1.0,4.692356828697825,0.17568805461743983,0.004271718566837238
1.0,10.0,0.1,32.022574979892575,1.0,1.1796894434997738,2.2877745581927007,0.0035213486873957446
1.0,10.0,0.1,40.69672370313513,1.0,4.64858694410254,2.8442007674301246,0.010156445565379564
1.0,10.0,0.1,4.673632287907544,1.0,1.0203203187624488,0.5749777493578349,0.0028137247109388157
1.0,10.0,0.1,2.375224521798904,1.0,2.460046560065535,0.10567727616782627,0.008516025663824322
1.0,10.0,0.1,4.185984806555214,1.0,4.780400207622315,0.3544190739278464,0.003294984982360446
1.0,10.0,0.1,16.400882757287285,1.0,1.0072340575586851,0.9415878638569561,0.004944502830635472
1.0,10.0,0.1,12.085581357552542,1.0,0.9552589787964572,0.6466683050538282,0.00976733704728051
1.0,10.0,0.1,24.599078218174053,1.0,1.2965013995151604,1.3696924205173855,0.008410160148715057
1.0,10.0,0.1,22.79457797200241,1.0,2.559587163337937,2.857978964230026,0.0019387055183574598
1.0,10.0,0.1,2.4013181091276645,1.0,0.789164004230906,0.12576349328481365,0.016277411249874602
1.0,10.0,0.1,9.6641507862378,1.0,1.661185245762079,0.8935554024932094,0.004472903814028056
1.0,10.0,0.1,4.565704967860532,1.0,3.27547973685873,0.09969641852786607,0.0973877379941583
1.0,10.0,0.1,2.9411886859149776,1.0,3.6146524137169096,0.30794528238586855,0.005424404162228581
1.0,10.0,0.1,18.470309497674748,1.0,5.130813292831801,3.32456891791528,0.0032470024851679173
1.0,10.0,0.1,2.177644258194049,1.0,1.2631057099293104,0.10795557379454206,0.0048115521851707765
1.0,10.0,0.1,1.8867408745622527,1.0,1.3412147830660661,0.06243877865508495,0.004807832985488643
1.0,10.0,0.1,2.3186617840196093,1.0,3.0728700854519393,0.19432243590092266,0.006146760148503521
1.0,10.0,0.1,7.975695438877764,1.0,1.2105106032099784,0.4385551919596002,0.005732704093046516
1.0,10.0,0.1,7.879527715869969,1.0,1.010397958953031,0.14828307999103674,0.0064784125405881274
1.0,10.0,0.1,2.458060916858422,1.0,1.7207495797655323,0.3208577456478981,0.010729611758469655
1.0,10.0,0.1,3.6794434287964197,1.0,3.9787916978044096,0.13266969291942196,0.03272709609865866
1.0,10.0,0.1,6.202126547375711,1.0,0.4883700919933216,0.5934730566829477,0.003453512822532156
1.0,10.0,0.1,15.040070725081437,1.0,2.437777968493202,0.827702242533122,0.00918543484200762
1.0,10.0,0.1,13.04923586151474,1.0,0.4617932977162396,0.3675426928655832,0.06742372258317524
1.0,10.0,0.1,33.32610323879274,1.0,1.916558796244345,0.8726930493091163,0.061423057106417406
1.0,10.0,0.1,3.821879289754905,1.0,2.4396961473427448,0.2276450549053718,0.0024066923833588783
1.0,10.0,0.1,16.780053757600545,1.0,1.092987825220121,0.933671645879971,0.003263836354067607
1.0,10.0,0.1,19.546717356788267,1.0,1.0708976327158133,2.4152977700283986,0.007793551069306516
1.0,10.0,0.1,4.446286624925563,1.0,1.7395292968781486,0.1649360886784618,0.007490685725767462
1.0,10.0,0.1,17.493742365352244,1.0,2.979188664049415,0.7867480506810617,0.0032247298108832156
1.0,10.0,0.1,8.492889546626955,1.0,3.1463942494949615,1.4481953293369068,0.005252461955997905
1.0,10.0,0.1,17.787580786601524,1.0,1.3247562918759832,0.7446623032018815,0.005507138580719633
1.0,10.0,0.1,5.360253932895398,1.0,2.7029531232362887,0.2105577204515591,0.002593776714072317
1.0,10.0,0.1,3.229690905083293,1.0,1.3551141394930584,0.08018021191979582,0.019787924477945435
1.0,10.0,0.1,1.5645521983833444,1.0,0.6686185869728456,0.06502942044748868,0.005332947940741231
1.0,10.0,0.1,4.489802969166899,1.0,0.7340133144832675,0.05360837650286522,0.20262432844818795
1.0,10.0,0.1,1.4528938842497716,1.0,1.4077125806085768,0.05883719075946057,0.006285963860197558
1.0,10.0,0.1,22.209073988926576,1.0,2.0236157088865587,1.829642586389472,0.0075931592083257685
1.0,10.0,0.1,1.6288799843792363,1.0,2.3623136302666117,0.17209753296640143,0.006064856609829129
1.0,10.0,0.1,2.594071306509193,1.0,2.1379050667936865,0.2742767889456909,0.011167787713938365
1.0,10.0,0.1,5.711840426280475,1.0,1.9144277179592737,0.2711432864407244,0.00706176668431349
1.0,10.0,0.1,3.0460365029094727,1.0,0.9674489167466522,0.11608755778207051,0.026975153531452026
1.0,10.0,0.1,22.067842623792686,1.0,2.4754295723243382,2.4349740976249405,0.004380635156492589
1.0,10.0,0.1,6.878858175922482,1.0,0.33860027631579237,0.3513478627045922,0.0041685265124512
1.0,10.0,0.1,1.658017109232254,1.0,1.0187461387393735,0.1538181265050165,0.004230661353531497
1.0,10.0,0.1,0.7294229449489564,1.0,2.1419424472187427,0.05062852191056396,0.004271233337330474
1.0,10.0,0.1,15.210635904971587,1.0,1.4353387037359873,0.6095348625273453,0.039621877639433235
1.0,10.0,0.1,18.609972121601515,1.0,1.2755983676813785,0.5213106497354822,0.0036227802459930245
1.0,10.0,0.1,4.619061502965553,1.0,2.1755826785240244,0.9523094654755376,0.0032316153140589682
1.0,10.0,0.1,3.125587299008375,1.0,1.0242049319286568,0.12472020765486541,0.010560602519272835
1.0,10.0,0.1,47.97855350554302,1.0,1.7383189132264227,0.6955186434299776,0.05231830792706507
1.0,10.0,0.1,0.4583415125295789,1.0,1.8346884302677613,0.06289212874993096,0.008686832279959283
1.0,10.0,0.1,14.371772473366656,1.0,2.134292801503593,0.7925868040234387,0.007837792838142597
1.0,10.0,0.1,8.164890325949965,1.0,1.400449778198002,0.4101891696172113,0.004428795614945931
