0.0,10,0,0,0,0
10.0,2,8,0,6,5
20.0,4,6,0,2,5
30.0,3,7,0,3,5
40.0,4,6,1,4,9
50.0,7,3,0,11,27
60.0,7,3,0,15,24
70.0,10,0,0,4,26
80.0,10,0,2,18,99
90.0,10,0,0,10,109
100.0,9,1,0,17,106
110.0,7,3,0,12,109
120.0,8,2,0,13,106
130.0,9,1,0,14,104
140.0,10,0,0,17,101
150.0,9,1,0,17,102
160.0,10,0,0,12,103
170.0,10,0,0,8,104
180.0,9,1,0,18,129
190.0,8,2,0,20,128
200.0,10,0,0,19,126
210.0,9,1,0,13,128
220.0,9,1,0,9,129
230.0,10,0,0,14,124
240.0,8,2,0,20,122
250.0,10,0,1,29,156
260.0,10,0,0,19,208
270.0,8,2,0,30,204
280.0,9,1,0,20,207
290.0,8,2,0,22,205
300.0,10,0,0,28,199
310.0,9,1,0,20,203
320.0,10,0,0,20,201
330.0,10,0,0,18,201
340.0,10,0,0,35,222
350.0,9,1,0,29,225
360.0,10,0,0,13,232
370.0,10,0,0,21,228
380.0,9,1,0,21,227
390.0,10,0,0,27,222
400.0,10,0,0,18,224
410.0,10,0,0,24,220
420.0,10,0,0,26,219
430.0,10,0,0,20,222
440.0,9,1,0,20,222
450.0,10,0,0,26,215
460.0,10,0,0,25,214
470.0,10,0,0,25,214
480.0,10,0,0,15,218
490.0,10,0,0,25,212
500.0,9,1,0,29,210
