c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.1,13.53455963759395,1.0,0.4082130198257733,0.370931158329198,0.018604748386225
1.0,10.0,0.1,34.2653124126148,1.0,0.15982470366025328,1.1809021941902549,0.08797324480380045
1.0,10.0,0.1,6.428591219810801,1.0,1.8701230666564481,0.14291084623270714,0.01687332879686832
1.0,10.0,0.1,2.4123913104687,1.0,1.0327472973957694,0.25276050764146635,0.003637498429129639
1.0,10.0,0.1,35.245381928001954,1.0,1.3296491295090398,0.9288086340935379,0.028897938076104107
1.0,10.0,0.1,2.3189825482693305,1.0,0.8032858888396889,0.1501169325895348,0.007686995522612317
1.0,10.0,0.1,13.527695181704175,1.0,0.6084445839029016,0.14212330021301325,0.042723885140779586
1.0,10.0,0.1,11.24543902908207,1.0,2.2301736599843003,0.8452157066121899,0.007477533632256284
1.0,10.0,0.1,48.31258789089252,1.0,1.6860943663828578,2.5210573935057,0.0069238025735544155
1.0,10.0,0.1,8.697592920062068,1.0,1.0468576938639866,0.06907207767221789,0.08981033075537827
1.0,10.0,0.1,2.5844432947602196,1.0,4.174083164847583,0.4018315647401379,0.007002078404791871
1.0,10.0,0.1,51.510176365568064,1.0,0.9918416355701068,0.313162735732549,0.17770991800819003
1.0,10.0,0.1,10.39955020008835,1.0,0.8229938708903024,0.17445984463277303,0.023555834527628616
1.0,10.0,0.1,9.170610752515026,1.0,7.040569385388746,0.6058766011057389,0.06060376299221828
1.0,10.0,0.1,10.628756824081696,1.0,2.3993431643408667,0.8222052619173869,0.012089884735659678
1.0,10.0,0.1,12.466824448189023,1.0,1.827876549099518,0.4557146643292851,0.046590668154495044
1.0,10.0,0.1,12.195012410776796,1.0,0.9424806872860688,0.2206835517162014,0.012961417357612035
1.0,10.0,0.1,20.072966655136295,1.0,0.21386457970989484,0.1360956889011639,0.12794401764648194
1.0,10.0,0.1,0.8439806561875614,1.0,0.7923814597691057,0.19860827464421382,0.008460234175011572
1.0,10.0,0.1,3.0165909414284156,1.0,0.4098603749349383,0.0945543464085587,0.009213889632606082
