c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.1,20.60148985986705,1.0,0.9334969495497448,1.7720138559712602,0.0022078548355771695
1.0,10.0,0.1,41.10551822245838,1.0,1.9007480514023334,1.643288836685754,0.005358990465381374
1.0,10.0,0.1,49.12531372517499,1.0,2.037713932093728,1.2915910919041438,0.02762950814573476
1.0,10.0,0.1,7.1532603804239345,1.0,1.5800987329890575,0.5698508679493706,0.005400012771694113
1.0,10.0,0.1,14.918678915151373,1.0,2.244416910737653,0.6872090304177894,0.005134126589067147
1.0,10.0,0.1,4.744662170264727,1.0,0.3558587179394012,0.15414402872441146,0.004542455817748389
1.0,10.0,0.1,20.64374528719113,1.0,0.9008712509709251,0.4847886777324267,0.006535510798980675
1.0,10.0,0.1,44.71249263718229,1.0,1.2971382542902188,0.6762292981261273,0.010394439247036712
1.0,10.0,0.1,2.0941993610217464,1.0,0.9332157116447742,0.14475783151850705,0.010586794952190164
1.0,10.0,0.1,14.072154126289483,1.0,0.6837260209987803,0.8991599471973987,0.003994653731158523
1.0,10.0,0.1,8.120312818030373,1.0,1.610070926836304,0.6134728167402361,0.004334125034080244
1.0,10.0,0.1,29.22641378605614,1.0,1.7942826110091055,4.875142793818222,0.004685721575950052
1.0,10.0,0.1,40.576889867874804,1.0,2.688357420483433,2.7246929198757934,0.006321827649904906
1.0,10.0,0.1,55.378472747428496,1.0,1.1145833293456093,1.1635113386366371,0.004869858179790484
1.0,10.0,0.1,5.479496331912159,1.0,1.2860383894520886,0.2368895431013165,0.003927220264928318
1.0,10.0,0.1,1.0131520048533804,1.0,3.110645184978177,0.08512055271265914,0.00959812551834487
1.0,10.0,0.1,0.8989310553486471,1.0,3.351062186856503,0.1051512508733381,0.008156485942284969
1.0,10.0,0.1,25.760354782658485,1.0,1.221328700990479,0.46781686551021684,0.004806896865518687
1.0,10.0,0.1,0.6791548987436595,1.0,2.1884246469472712,0.056948760909912126,0.0031238518470952303
1.0,10.0,0.1,18.972088314018997,1.0,2.454597800506617,1.0113736724356095,0.004219716101929091
